timestamp,datetime,left_velocity_ms,left_pwm,right_velocity_ms,right_pwm
1763585862.220862,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220868,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220874,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208803,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2208862,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2209616,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.220983,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2209947,2025-11-19 17:57:42.220,0.0,140.0,0.0,140.0
1763585862.2210033,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2210128,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2212992,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221317,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213244,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213304,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213364,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213416,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213469,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221352,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213573,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213624,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213678,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213879,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213938,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2213995,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221405,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2214794,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221506,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2215147,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221521,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2215285,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221534,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2215393,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2215757,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221585,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2215939,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2216022,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.22169,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2217128,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221722,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.221729,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2217357,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2218513,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2218752,2025-11-19 17:57:42.221,0.0,140.0,0.0,140.0
1763585862.2220027,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2220302,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.222254,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2222733,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2222822,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2222922,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.222391,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2224047,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2224264,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2224345,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2224429,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2224846,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225256,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225356,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225435,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225513,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225723,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225802,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2225878,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.222595,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2226026,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.22261,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2228518,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2228875,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229066,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.222917,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229302,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229388,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229652,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229736,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229831,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2229917,2025-11-19 17:57:42.222,0.0,140.0,0.0,140.0
1763585862.2230003,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2230377,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2230465,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2230556,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.223064,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2230732,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.223082,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2230904,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.223098,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2231069,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.22321,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.223229,2025-11-19 17:57:42.223,0.0,140.0,0.0,140.0
1763585862.2335181,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.2335734,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.2335854,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.233595,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.2336047,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.233613,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.2336235,2025-11-19 17:57:42.233,0.0,140.0,0.0,140.0
1763585862.2680554,2025-11-19 17:57:42.268,0.0,140.0,0.0,140.0
1763585862.2681072,2025-11-19 17:57:42.268,0.0,140.0,0.0,140.0
1763585862.2681193,2025-11-19 17:57:42.268,0.0,140.0,0.0,140.0
1763585862.2681289,2025-11-19 17:57:42.268,0.0,140.0,0.0,140.0
1763585862.2731202,2025-11-19 17:57:42.273,0.0,140.0,0.0,140.0
1763585862.2781408,2025-11-19 17:57:42.278,0.0,140.0,0.0,140.0
